id,loan_amnt,home_ownership,annual_inc,dti,int_rate,tax_liens,credit_age,age,loan_status
43,9600.0,RENT,75000.0,14.82,0.1629,0,6288,OVER_FORTY,0
44,5000.0,OWN,25000.0,7.3,0.21,0,8722,UNDER_FORTY,0
45,7000.0,MORTGAGE,36000.0,23.03,0.1629,0,8022,UNDER_FORTY,1
46,25950.0,MORTGAGE,59066.0,30.88,0.1629,0,7841,UNDER_FORTY,1
47,4000.0,RENT,39000.0,11.35,0.1875,0,5162,UNDER_FORTY,0
48,2300.0,MORTGAGE,103000.0,10.33,0.1849,0,5343,UNDER_FORTY,0
49,8000.0,MORTGAGE,102200.0,25.75,0.1531,0,7322,UNDER_FORTY,0
50,12000.0,MORTGAGE,80000.0,9.62,0.0662,0,17610,UNDER_FORTY,0
51,4800.0,RENT,24960.0,31.25,0.1849,0,7200,UNDER_FORTY,0
52,30000.0,RENT,78000.0,14.68,0.158,0,7992,OVER_FORTY,0
53,33000.0,RENT,78000.0,15.69,0.1629,0,7475,UNDER_FORTY,0
54,6000.0,MORTGAGE,31000.0,21.87,0.1629,0,9392,UNDER_FORTY,0
55,4000.0,RENT,50000.0,13.66,0.2198,0,4308,UNDER_FORTY,0
56,35000.0,OWN,120000.0,16.95,0.1849,0,13563,OVER_FORTY,0
57,15000.0,RENT,60000.0,9.07,0.1777,0,5983,UNDER_FORTY,0
58,1000.0,RENT,20000.0,0.9,0.2295,0,10579,UNDER_FORTY,1
59,35000.0,RENT,110000.0,32.01,0.1629,0,9667,OVER_FORTY,0
60,8000.0,RENT,28000.0,27.9,0.21,0,5223,UNDER_FORTY,0
61,14400.0,RENT,56000.0,22.67,0.1849,0,8599,UNDER_FORTY,0
62,4000.0,MORTGAGE,34000.0,20.26,0.1972,0,6196,UNDER_FORTY,0
63,3000.0,MORTGAGE,72000.0,28.65,0.1629,0,7353,OVER_FORTY,0
64,7200.0,MORTGAGE,62500.0,21.64,0.158,0,8265,OVER_FORTY,0
65,15000.0,MORTGAGE,180000.0,7.89,0.1629,0,6380,OVER_FORTY,0
66,4000.0,MORTGAGE,65000.0,12.28,0.158,0,9818,OVER_FORTY,0
67,11500.0,MORTGAGE,60000.0,16.86,0.158,0,4705,UNDER_FORTY,0
68,6700.0,MORTGAGE,88800.0,9.36,0.1531,0,7992,OVER_FORTY,0
69,15000.0,MORTGAGE,125000.0,6.64,0.1433,0,11128,OVER_FORTY,0
70,2400.0,RENT,18000.0,25.6,0.2363,0,5374,UNDER_FORTY,0
71,8325.0,RENT,25000.0,14.59,0.1849,0,4766,UNDER_FORTY,0
72,4525.0,RENT,80000.0,11.8,0.1875,0,5496,UNDER_FORTY,0
73,18200.0,MORTGAGE,71000.0,15.09,0.1114,0,7961,OVER_FORTY,0
74,12000.0,MORTGAGE,58000.0,29.36,0.1114,0,5435,UNDER_FORTY,0
75,10000.0,OWN,34000.0,18.88,0.158,0,10579,UNDER_FORTY,0
76,6000.0,RENT,86000.0,15.72,0.1433,0,7261,UNDER_FORTY,0
77,21850.0,OWN,50000.0,25.06,0.1433,0,7049,OVER_FORTY,0
78,7000.0,RENT,92976.0,20.66,0.1777,0,9361,OVER_FORTY,1
79,2800.0,RENT,43971.0,11.05,0.1777,0,5739,UNDER_FORTY,1
80,4200.0,MORTGAGE,55000.0,27.36,0.1972,0,7596,OVER_FORTY,0
81,8000.0,RENT,25323.0,16.52,0.1629,0,7230,UNDER_FORTY,0
82,5700.0,RENT,22000.0,29.18,0.1905,0,4735,UNDER_FORTY,1
83,8000.0,RENT,54000.0,22.33,0.1433,0,6623,OVER_FORTY,0
84,10000.0,MORTGAGE,54000.0,28.79,0.1433,0,8691,UNDER_FORTY,0
85,6500.0,RENT,33500.0,30.05,0.1531,0,6319,UNDER_FORTY,1
86,10000.0,RENT,40000.0,25.89,0.1875,0,5800,UNDER_FORTY,1
87,7850.0,RENT,53000.0,28.21,0.1727,0,7138,OVER_FORTY,1
88,35000.0,MORTGAGE,265000.0,16.29,0.1531,0,11218,UNDER_FORTY,0
89,12000.0,MORTGAGE,80000.0,22.67,0.089,0,6288,UNDER_FORTY,0
90,8525.0,MORTGAGE,28000.0,11.46,0.1905,0,5588,OVER_FORTY,0
91,13750.0,RENT,60000.0,24.84,0.1531,0,5496,UNDER_FORTY,0
92,27575.0,MORTGAGE,240000.0,0.13,0.1433,0,8752,UNDER_FORTY,0
93,8000.0,MORTGAGE,65650.0,21.33,0.1433,0,7992,OVER_FORTY,0
94,2400.0,RENT,145000.0,0.64,0.21,0,8296,UNDER_FORTY,0
95,9600.0,MORTGAGE,95900.0,8.37,0.158,0,4157,OVER_FORTY,1
96,8000.0,OWN,66000.0,27.53,0.1905,0,11248,UNDER_FORTY,0
97,7500.0,MORTGAGE,41000.0,24.47,0.1433,0,6531,UNDER_FORTY,0
98,12000.0,MORTGAGE,60361.0,9.54,0.1531,0,8022,UNDER_FORTY,0
99,9600.0,MORTGAGE,104000.0,8.88,0.1114,0,7841,OVER_FORTY,0
100,12000.0,RENT,50000.0,28.63,0.1629,0,6288,UNDER_FORTY,0
101,6000.0,MORTGAGE,70000.0,20.04,0.1531,0,8599,OVER_FORTY,0
102,15000.0,RENT,75000.0,22.5,0.2198,0,8571,UNDER_FORTY,0
103,15000.0,RENT,115000.0,7.23,0.1905,0,9180,UNDER_FORTY,0
104,12000.0,MORTGAGE,40000.0,21.54,0.1016,0,7261,OVER_FORTY,0
105,10800.0,RENT,40000.0,14.37,0.1433,0,6684,UNDER_FORTY,0
106,9000.0,RENT,39507.0,16.68,0.1433,0,5374,UNDER_FORTY,0
107,6500.0,RENT,123000.0,7.0,0.1433,0,10518,UNDER_FORTY,0
108,8000.0,RENT,42000.0,7.51,0.1433,0,6196,UNDER_FORTY,0
109,35000.0,MORTGAGE,125000.0,16.55,0.1433,0,11187,OVER_FORTY,0
110,19425.0,OWN,56000.0,30.88,0.079,0,12497,UNDER_FORTY,0
111,18000.0,RENT,40000.0,26.31,0.1433,0,5192,UNDER_FORTY,0
112,3000.0,RENT,45000.0,4.64,0.1433,0,5983,UNDER_FORTY,0
113,28000.0,MORTGAGE,150000.0,20.27,0.1433,0,8175,UNDER_FORTY,0
114,20000.0,MORTGAGE,50000.0,31.7,0.1433,0,15054,UNDER_FORTY,0
115,8400.0,MORTGAGE,41000.0,14.81,0.1433,0,7110,UNDER_FORTY,0
116,27575.0,MORTGAGE,62000.0,25.55,0.1875,0,6804,UNDER_FORTY,0
117,12000.0,RENT,88500.0,18.16,0.1311,0,7566,UNDER_FORTY,1
118,20000.0,MORTGAGE,72587.0,14.07,0.1212,0,6592,OVER_FORTY,0
119,16000.0,MORTGAGE,65000.0,15.9,0.1212,0,7200,OVER_FORTY,0
120,11000.0,OWN,34000.0,30.85,0.1433,0,14901,OVER_FORTY,0
121,12600.0,MORTGAGE,160000.0,15.04,0.079,0,7566,UNDER_FORTY,0
122,13875.0,RENT,60000.0,16.17,0.1212,0,9392,UNDER_FORTY,0
123,22000.0,MORTGAGE,77180.0,25.7,0.1727,0,6988,UNDER_FORTY,0
124,9750.0,RENT,72000.0,21.1,0.1727,0,5162,UNDER_FORTY,0
125,2500.0,RENT,65000.0,26.79,0.1905,0,7566,OVER_FORTY,0
126,12000.0,MORTGAGE,98000.0,0.99,0.0603,0,16515,UNDER_FORTY,0
127,10000.0,MORTGAGE,48000.0,8.48,0.158,0,6166,UNDER_FORTY,0
128,5000.0,OWN,60000.0,13.64,0.1531,0,11248,UNDER_FORTY,0
129,11000.0,RENT,31664.0,28.84,0.1875,0,10457,UNDER_FORTY,0
130,6500.0,MORTGAGE,106369.0,11.34,0.1016,0,9910,OVER_FORTY,0
131,25000.0,MORTGAGE,120000.0,12.71,0.0762,0,7657,OVER_FORTY,0
132,9500.0,RENT,30000.0,9.76,0.158,0,7230,OVER_FORTY,0
133,7125.0,RENT,25000.0,27.6,0.1875,0,4492,UNDER_FORTY,0
134,7200.0,MORTGAGE,90000.0,14.64,0.1777,0,7566,UNDER_FORTY,0
135,3425.0,RENT,35000.0,2.23,0.1629,0,10883,OVER_FORTY,0
136,7250.0,RENT,30000.0,17.54,0.1531,0,7322,UNDER_FORTY,0
137,10000.0,MORTGAGE,105000.0,23.67,0.1114,0,9726,UNDER_FORTY,0
138,15000.0,MORTGAGE,64916.0,16.27,0.1114,0,10001,OVER_FORTY,0
139,14000.0,MORTGAGE,150000.0,9.17,0.1114,0,9027,UNDER_FORTY,0
140,18250.0,RENT,42000.0,15.74,0.1727,0,7169,UNDER_FORTY,0
141,24375.0,MORTGAGE,115000.0,17.29,0.1311,0,9361,UNDER_FORTY,0
142,10000.0,MORTGAGE,34000.0,25.34,0.1531,0,6319,UNDER_FORTY,0
143,11000.0,MORTGAGE,38000.0,24.44,0.1531,0,5557,UNDER_FORTY,1
144,9600.0,MORTGAGE,38000.0,10.04,0.1531,0,7353,UNDER_FORTY,1
145,8000.0,RENT,42000.0,16.77,0.1531,0,5435,UNDER_FORTY,0
146,2400.0,MORTGAGE,34850.58,2.93,0.1875,0,6561,OVER_FORTY,0
147,28000.0,OWN,190000.0,13.47,0.1016,0,9667,UNDER_FORTY,0
148,16800.0,MORTGAGE,80000.0,22.22,0.1114,0,15389,OVER_FORTY,0
149,8000.0,OWN,55000.0,18.68,0.1849,0,6380,UNDER_FORTY,0
150,7300.0,RENT,45000.0,2.69,0.1114,0,5983,UNDER_FORTY,0
151,5500.0,RENT,35000.0,22.42,0.1727,0,6623,UNDER_FORTY,0
152,12000.0,MORTGAGE,70000.0,21.36,0.1311,0,13440,UNDER_FORTY,0
153,2000.0,MORTGAGE,84000.0,12.46,0.1777,0,12679,OVER_FORTY,0
154,2500.0,RENT,91507.0,7.03,0.1727,0,6531,UNDER_FORTY,0
155,10000.0,MORTGAGE,57600.0,18.46,0.1629,0,7444,OVER_FORTY,1
156,3600.0,MORTGAGE,97463.0,20.48,0.1016,0,9210,UNDER_FORTY,0
157,12000.0,RENT,54000.0,13.85,0.1114,0,7596,UNDER_FORTY,0
158,13225.0,RENT,37233.0,20.63,0.1629,0,7504,UNDER_FORTY,0
159,10000.0,RENT,60000.0,17.51,0.158,0,11736,UNDER_FORTY,0
160,8500.0,RENT,48700.0,33.59,0.079,0,7353,UNDER_FORTY,0
161,22500.0,MORTGAGE,88000.0,16.79,0.0762,0,8996,OVER_FORTY,0
162,14000.0,MORTGAGE,100000.0,20.78,0.079,0,9210,UNDER_FORTY,0
163,17800.0,OWN,40000.0,29.73,0.1875,0,11036,UNDER_FORTY,1
164,13250.0,MORTGAGE,38000.0,29.43,0.1727,0,8479,UNDER_FORTY,0
165,4575.0,RENT,23000.0,23.94,0.158,0,6835,UNDER_FORTY,1
166,15000.0,MORTGAGE,72000.0,3.32,0.1114,0,8206,UNDER_FORTY,0
167,6000.0,MORTGAGE,37200.0,20.94,0.1849,0,12405,UNDER_FORTY,0
168,1500.0,RENT,210000.0,2.96,0.1016,0,8752,UNDER_FORTY,0
169,20800.0,MORTGAGE,93500.0,21.64,0.1212,0,7291,UNDER_FORTY,0
170,10500.0,RENT,32000.0,14.81,0.1849,0,5131,UNDER_FORTY,0
171,8000.0,OWN,38000.0,19.52,0.1849,0,6773,UNDER_FORTY,0
172,13000.0,RENT,89000.0,11.22,0.1016,0,6439,UNDER_FORTY,0
173,14000.0,MORTGAGE,60000.0,21.14,0.1311,0,6380,UNDER_FORTY,0
174,9450.0,MORTGAGE,165000.0,10.44,0.1905,0,12071,OVER_FORTY,0
175,17600.0,RENT,50000.0,25.01,0.1311,0,4888,UNDER_FORTY,0
176,8900.0,MORTGAGE,83000.0,9.74,0.0603,0,8234,UNDER_FORTY,0
177,5500.0,RENT,55000.0,25.22,0.1849,0,7291,OVER_FORTY,0
178,15000.0,MORTGAGE,83000.0,20.44,0.1311,1,6166,UNDER_FORTY,0
179,15000.0,RENT,80000.0,18.69,0.089,0,8510,UNDER_FORTY,0
180,13600.0,RENT,95600.0,16.04,0.1114,0,7749,OVER_FORTY,0
181,8000.0,RENT,51000.0,13.45,0.1311,0,6380,OVER_FORTY,0
182,16000.0,RENT,46000.0,24.08,0.1972,0,7931,UNDER_FORTY,0
183,3000.0,RENT,100000.0,12.05,0.1777,0,10001,OVER_FORTY,0
184,14000.0,MORTGAGE,235000.0,10.55,0.1311,0,7841,UNDER_FORTY,0
185,13000.0,MORTGAGE,90000.0,11.91,0.1727,0,7869,OVER_FORTY,0
186,18800.0,MORTGAGE,53000.0,19.09,0.1212,0,7261,UNDER_FORTY,0
187,7000.0,MORTGAGE,67000.0,11.77,0.1727,0,6865,OVER_FORTY,0
188,20000.0,MORTGAGE,69000.0,20.04,0.089,0,9361,OVER_FORTY,0
189,9750.0,MORTGAGE,69499.0,30.88,0.158,0,7627,OVER_FORTY,1
190,20000.0,MORTGAGE,85000.0,21.59,0.079,0,8814,UNDER_FORTY,0
191,12650.0,MORTGAGE,88000.0,19.34,0.089,0,6926,OVER_FORTY,0
192,10000.0,MORTGAGE,70000.0,21.67,0.1777,0,9180,UNDER_FORTY,0
193,10000.0,MORTGAGE,96000.0,7.98,0.089,0,12589,OVER_FORTY,0
194,10000.0,MORTGAGE,40000.0,21.21,0.1727,0,5131,UNDER_FORTY,0
195,10000.0,MORTGAGE,85000.0,9.04,0.1311,0,7049,UNDER_FORTY,0
196,35000.0,MORTGAGE,138000.0,14.68,0.1212,0,10914,UNDER_FORTY,0
197,3200.0,MORTGAGE,54000.0,27.36,0.1114,0,5496,UNDER_FORTY,0
198,13750.0,MORTGAGE,36000.0,6.2,0.1875,0,4858,UNDER_FORTY,0
199,7750.0,RENT,56000.0,0.54,0.1114,0,6166,UNDER_FORTY,1
200,2750.0,RENT,10631.08,15.8,0.2247,0,13836,UNDER_FORTY,0
201,20000.0,MORTGAGE,84000.0,13.99,0.089,0,7261,UNDER_FORTY,0
202,10000.0,RENT,75000.0,13.68,0.1433,0,5404,UNDER_FORTY,0
203,19500.0,MORTGAGE,79000.0,20.25,0.1114,0,15174,OVER_FORTY,0
204,30000.0,RENT,115000.0,4.33,0.1629,0,3943,UNDER_FORTY,0
205,7375.0,RENT,40000.0,6.24,0.1849,0,5892,UNDER_FORTY,0
206,5000.0,RENT,24000.0,6.6,0.1849,0,5618,UNDER_FORTY,0
207,4325.0,RENT,48400.0,34.04,0.158,0,7900,UNDER_FORTY,0
208,17500.0,MORTGAGE,65000.0,13.68,0.1311,0,8206,OVER_FORTY,0
209,21000.0,MORTGAGE,87000.0,8.1,0.1212,0,9271,OVER_FORTY,0
210,5000.0,RENT,68000.0,19.34,0.1311,0,7444,UNDER_FORTY,0
211,5000.0,MORTGAGE,29988.0,29.65,0.1727,0,5162,UNDER_FORTY,1
212,17000.0,MORTGAGE,42000.0,33.77,0.1114,0,6957,UNDER_FORTY,0
213,16000.0,MORTGAGE,40000.0,12.57,0.1311,0,6684,UNDER_FORTY,1
214,10500.0,RENT,35000.0,22.83,0.1629,0,5527,UNDER_FORTY,0
215,12000.0,MORTGAGE,75000.0,5.99,0.1114,0,5983,UNDER_FORTY,0
216,11975.0,MORTGAGE,37000.0,25.14,0.1311,0,10610,UNDER_FORTY,0
217,12000.0,RENT,100000.0,15.9,0.1016,0,13013,OVER_FORTY,0
218,8000.0,RENT,64000.0,15.24,0.1433,0,8114,UNDER_FORTY,1
219,15000.0,MORTGAGE,55000.0,33.08,0.1114,0,7138,OVER_FORTY,0
220,22000.0,RENT,65640.0,13.42,0.1212,0,6896,OVER_FORTY,0
221,4000.0,MORTGAGE,50000.0,14.83,0.1212,0,5708,OVER_FORTY,0
222,12000.0,MORTGAGE,80000.0,9.41,0.0762,0,9695,OVER_FORTY,0
223,14500.0,RENT,68000.0,13.22,0.158,0,7869,UNDER_FORTY,0
224,24000.0,MORTGAGE,100000.0,17.28,0.0603,0,9057,UNDER_FORTY,0
225,8050.0,MORTGAGE,83000.0,12.38,0.089,0,5800,UNDER_FORTY,0
226,6000.0,RENT,30000.0,13.4,0.1114,0,5343,UNDER_FORTY,0
227,10000.0,RENT,83000.0,9.34,0.089,0,6439,UNDER_FORTY,0
228,6000.0,MORTGAGE,83000.0,23.48,0.1114,0,14262,OVER_FORTY,0
229,24000.0,RENT,65000.0,11.52,0.1972,0,8752,OVER_FORTY,0
230,9000.0,MORTGAGE,47000.0,15.52,0.1531,0,8296,UNDER_FORTY,0
231,22950.0,RENT,52000.0,26.31,0.1433,0,8691,UNDER_FORTY,0
232,28000.0,MORTGAGE,220000.0,10.54,0.079,0,7992,OVER_FORTY,0
233,12000.0,RENT,74000.0,26.3,0.1114,0,8053,UNDER_FORTY,1
234,9800.0,RENT,35500.0,22.61,0.1777,0,6592,UNDER_FORTY,1
235,5400.0,MORTGAGE,40000.0,15.21,0.158,0,8326,UNDER_FORTY,0
236,6000.0,MORTGAGE,90000.0,12.52,0.1212,0,15054,OVER_FORTY,0
237,20000.0,MORTGAGE,130000.0,24.53,0.1531,0,9667,OVER_FORTY,0
238,4750.0,RENT,25000.0,33.59,0.1972,0,6166,UNDER_FORTY,1
239,35000.0,MORTGAGE,350000.0,8.85,0.1433,0,6773,UNDER_FORTY,0
240,11250.0,MORTGAGE,65800.0,28.07,0.1114,0,5800,UNDER_FORTY,0
241,20000.0,MORTGAGE,65000.0,28.62,0.1212,0,9910,UNDER_FORTY,0
242,7500.0,RENT,62000.0,19.31,0.1849,0,7841,UNDER_FORTY,0
243,12000.0,RENT,88257.0,14.83,0.0762,0,5830,UNDER_FORTY,0
244,7500.0,MORTGAGE,96000.0,16.6,0.089,0,7504,UNDER_FORTY,0
245,14000.0,RENT,80000.0,14.77,0.0603,0,6653,UNDER_FORTY,0
246,19400.0,RENT,55325.0,22.51,0.1212,0,12224,OVER_FORTY,0
247,24000.0,MORTGAGE,70000.0,7.22,0.0603,0,9818,UNDER_FORTY,0
248,4125.0,RENT,15000.0,27.84,0.2247,0,5100,UNDER_FORTY,0
249,15000.0,MORTGAGE,70000.0,20.01,0.1016,0,8722,OVER_FORTY,0
250,30000.0,MORTGAGE,103000.0,27.24,0.1531,0,5435,UNDER_FORTY,0
251,7200.0,MORTGAGE,60000.0,7.52,0.089,0,5953,UNDER_FORTY,0
252,35000.0,MORTGAGE,188000.0,11.28,0.1531,0,7780,UNDER_FORTY,0
253,11100.0,RENT,67500.0,11.09,0.1433,0,8875,UNDER_FORTY,0
254,9125.0,RENT,40000.0,19.74,0.1849,0,10822,OVER_FORTY,0
255,4200.0,RENT,15000.0,31.44,0.21,0,5131,UNDER_FORTY,0
256,24575.0,MORTGAGE,56000.0,32.35,0.1629,0,14535,OVER_FORTY,1
257,2000.0,RENT,20000.0,12.36,0.2149,0,5284,UNDER_FORTY,0
258,15000.0,RENT,60000.0,13.52,0.1875,0,5253,UNDER_FORTY,1
259,7200.0,RENT,29000.0,26.36,0.158,0,9118,UNDER_FORTY,1
260,10000.0,OWN,54000.0,24.16,0.1114,0,15662,UNDER_FORTY,0
261,15000.0,RENT,97000.0,19.91,0.1114,0,9910,UNDER_FORTY,0
262,10000.0,RENT,72800.0,21.38,0.1849,0,7504,UNDER_FORTY,1
263,10000.0,OWN,45000.0,26.13,0.1531,0,6258,UNDER_FORTY,0
264,12000.0,RENT,64000.0,15.36,0.1433,0,8783,OVER_FORTY,0
265,14000.0,MORTGAGE,55000.0,13.4,0.089,0,10426,OVER_FORTY,0
266,4200.0,RENT,30000.0,9.0,0.158,0,4127,UNDER_FORTY,0
267,13000.0,MORTGAGE,69800.0,27.02,0.1531,0,11248,UNDER_FORTY,0
268,18125.0,MORTGAGE,68000.0,14.87,0.079,0,7657,OVER_FORTY,0
269,8000.0,RENT,32000.0,12.98,0.1629,0,9118,UNDER_FORTY,0
270,18225.0,RENT,71600.0,28.54,0.158,0,12224,UNDER_FORTY,0
271,12000.0,RENT,100000.0,6.71,0.1972,0,6865,OVER_FORTY,0
272,8500.0,RENT,40000.0,8.13,0.158,0,9971,OVER_FORTY,0
273,10000.0,RENT,98000.0,18.6,0.158,0,7291,UNDER_FORTY,1
274,3000.0,RENT,40000.0,27.27,0.2149,0,7627,UNDER_FORTY,0
275,24000.0,MORTGAGE,112000.0,24.64,0.089,0,10702,UNDER_FORTY,0
276,4500.0,MORTGAGE,59870.0,23.79,0.1629,0,8234,UNDER_FORTY,0
277,6000.0,MORTGAGE,65000.0,24.13,0.1433,0,5162,UNDER_FORTY,0
278,11400.0,RENT,48500.0,16.38,0.1433,0,6865,UNDER_FORTY,0
279,12500.0,MORTGAGE,72000.0,6.85,0.1114,0,10001,OVER_FORTY,0
280,8000.0,RENT,67000.0,16.48,0.1311,0,6988,UNDER_FORTY,0
281,18000.0,RENT,42500.0,30.49,0.1727,0,5100,UNDER_FORTY,0
282,8400.0,MORTGAGE,60000.0,14.86,0.1727,0,5618,UNDER_FORTY,0
283,30000.0,RENT,90000.0,20.47,0.1433,0,6684,UNDER_FORTY,0
284,8000.0,MORTGAGE,74500.0,17.23,0.1114,0,10975,UNDER_FORTY,0
285,6500.0,RENT,32000.0,22.76,0.1212,0,5557,UNDER_FORTY,0
286,35000.0,MORTGAGE,110000.0,34.6,0.1629,0,12375,OVER_FORTY,1
287,3000.0,RENT,90500.0,28.66,0.2149,0,7475,UNDER_FORTY,0
288,3200.0,MORTGAGE,68000.0,11.96,0.1905,0,11340,UNDER_FORTY,0
289,7200.0,MORTGAGE,129345.24,8.11,0.1016,0,9330,OVER_FORTY,0
290,20000.0,MORTGAGE,121000.0,15.46,0.089,0,6135,UNDER_FORTY,1
291,30000.0,MORTGAGE,89000.0,14.11,0.1531,0,7596,UNDER_FORTY,0
292,9600.0,RENT,42000.0,20.21,0.1875,0,7475,UNDER_FORTY,0
293,4375.0,RENT,21000.0,12.91,0.1905,0,7049,OVER_FORTY,0
294,32350.0,MORTGAGE,95000.0,20.22,0.1311,0,7138,UNDER_FORTY,0
295,8000.0,MORTGAGE,34000.0,14.82,0.1531,0,6561,UNDER_FORTY,0
296,12700.0,RENT,166358.0,4.17,0.1972,0,4035,OVER_FORTY,1
297,6000.0,MORTGAGE,35400.0,34.2,0.1905,0,7596,UNDER_FORTY,0
298,10000.0,RENT,30000.0,33.4,0.2049,0,6653,UNDER_FORTY,1
299,6000.0,OWN,61500.0,9.21,0.1311,0,8510,UNDER_FORTY,0
300,30000.0,RENT,70000.0,22.05,0.1433,0,5253,UNDER_FORTY,0
301,10000.0,OWN,65000.0,9.49,0.1777,0,4216,UNDER_FORTY,1
302,15000.0,RENT,50000.0,16.78,0.1016,0,6623,UNDER_FORTY,0
303,13000.0,MORTGAGE,37000.0,12.42,0.1016,0,9606,UNDER_FORTY,0
304,12000.0,MORTGAGE,78000.0,17.46,0.0603,0,13227,OVER_FORTY,0
305,29175.0,MORTGAGE,65088.0,22.18,0.1905,0,6684,OVER_FORTY,1
306,9425.0,MORTGAGE,45000.0,10.64,0.089,0,5343,UNDER_FORTY,0
307,5600.0,MORTGAGE,30000.0,7.6,0.1727,0,6014,UNDER_FORTY,0
308,3350.0,RENT,85000.0,16.84,0.1531,0,7504,OVER_FORTY,0
309,6000.0,RENT,57240.0,15.8,0.1311,0,11371,UNDER_FORTY,0
310,9000.0,RENT,94000.0,12.7,0.079,0,5649,UNDER_FORTY,0
311,11500.0,RENT,35000.0,16.87,0.1531,0,6896,UNDER_FORTY,0
312,22000.0,MORTGAGE,73700.0,20.47,0.089,0,7414,OVER_FORTY,0
313,13200.0,RENT,55000.0,25.16,0.158,0,5039,UNDER_FORTY,0
314,5000.0,RENT,54000.0,15.98,0.1875,0,8265,OVER_FORTY,1
315,11100.0,MORTGAGE,38000.0,30.28,0.1905,0,7353,OVER_FORTY,1
316,3200.0,OWN,14000.0,22.8,0.2149,0,5922,UNDER_FORTY,0
317,10000.0,RENT,51000.0,25.04,0.1433,0,6135,UNDER_FORTY,0
318,12000.0,MORTGAGE,48000.0,18.93,0.1849,0,7810,OVER_FORTY,1
